Source: https://www.kaggle.com/nickhould/craft-cans,,,,,,,,,
License: https://opendatacommons.org/licenses/odbl/1.0/,,,,,,,,,
,,,,,,,,,
beer id,abv,ibu,beer name,beer style,ounces,brewery id,brewery name,city,state
60,0.052,,Widow Maker Black Ale,American Brown Ale,12,84,Keweenaw Brewing Company,Houghton, MI
61,0.05,,Supper Club Lager,American Pale Lager,12,192,Capital Brewery,Middleton, WI
62,0.05,,U.S. Pale Ale,American Pale Ale (APA),12,192,Capital Brewery,Middleton, WI
63,0.052,,Wisconsin Amber (2013),Vienna Lager,12,192,Capital Brewery,Middleton, WI
64,0.05,,Liquid Amber Ale,American Amber / Red Ale,12,548,Prescott Brewing Company,Prescott, AZ
65,0.052,,Brooklyn Lager (12 oz.),American Amber / Red Lager,12,437,Brooklyn Brewery,Brooklyn, NY
66,0.052,,Brooklyn Lager (16 oz.),American Amber / Red Lager,16,437,Brooklyn Brewery,Brooklyn, NY
67,0.068,65,Modus Hoperandi,American IPA,12,264,Ska Brewing Company,Durango, CO
68,0.057,58,ESB Special Ale,Extra Special / Strong Bitter (ESB),12,264,Ska Brewing Company,Durango, CO
69,0.061,,Euphoria Pale Ale,American Pale Ale (APA),12,264,Ska Brewing Company,Durango, CO
70,0.053,,True Blonde Ale,American Blonde Ale,12,264,Ska Brewing Company,Durango, CO
71,0.052,18,Fat Tire Amber Ale (2008),American Amber / Red Ale,12,82,New Belgium Brewing Company,Fort Collins, CO
72,0.048,,Sunshine Wheat Beer (2009),American Pale Wheat Ale,12,82,New Belgium Brewing Company,Fort Collins, CO
73,0.045,,Real McCoy Amber Ale (Current),American Amber / Red Ale,12,534,Mammoth Brewing Company,Mammoth Lakes, CA
74,0.042,,Golden Trout Pilsner,German Pilsener,12,534,Mammoth Brewing Company,Mammoth Lakes, CA
75,0.065,,Epic IPA,American IPA,12,534,Mammoth Brewing Company,Mammoth Lakes, CA
76,0.055,28,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12,171,Anderson Valley Brewing Company,Boonville, CA
77,0.056,4,Summer Solstice (2011),Cream Ale,12,171,Anderson Valley Brewing Company,Boonville, CA
78,0.058,15,Boont Amber Ale (2011),American Amber / Red Ale,12,171,Anderson Valley Brewing Company,Boonville, CA
79,0.072,,Upslope India Pale Ale,American IPA,12,51,Upslope Brewing Company,Boulder, CO
80,0.058,,Upslope Pale Ale,American Pale Ale (APA),12,51,Upslope Brewing Company,Boulder, CO
81,0.049,35,Hazed & Infused (2010),American Pale Ale (APA),12,417,Boulder Beer Company,Boulder, CO
82,0.052,18,Haywire Hefeweizen (2010),Hefeweizen,16,544,Pyramid Breweries,Seattle, WA
1848,0.078,34,American Red Saison,Saison / Farmhouse Ale,12,294,Black Shirt Brewing Company,Denver, CO
1849,0.071,45,American Red Porter,American Porter,12,294,Black Shirt Brewing Company,Denver, CO
85,0.065,11,Cold Smoke Scotch Ale,Scotch Ale / Wee Heavy,16,510,Kettle House Brewing Company,Missoula, MT
86,0.065,65,Double Haul IPA,American IPA,16,510,Kettle House Brewing Company,Missoula, MT
87,0.055,50,Eddy Out Pale Ale,American Pale Ale (APA),16,510,Kettle House Brewing Company,Missoula, MT
88,0.05,,Viennese Lager,Vienna Lager,12,364,Bohemian Brewery,Midvale, UT
89,0.05,,Czech Pilsner,Czech Pilsener,12,364,Bohemian Brewery,Midvale, UT
90,0.065,65,Third Eye Pale Ale,American IPA,12,119,Steamworks Brewing Company,Durango, CO
91,0.057,25,Steam Engine Lager,American Amber / Red Lager,12,119,Steamworks Brewing Company,Durango, CO
92,0.049,17,Colorado Kölsch,Kölsch,12,119,Steamworks Brewing Company,Durango, CO
94,0.07,,Resurrection,Dubbel,12,262,The Brewer's Art,Baltimore, MD
96,0.055,,Annie's Amber Ale,American Amber / Red Ale,12,500,High Noon Saloon And Brewery,Leavenworth, KS
97,0.055,,Lazy Daze Lager,American Adjunct Lager,12,229,Rochester Mills Brewing Company,Rochester, MI
98,0.055,,Pilsner Ukiah,German Pilsener,12,555,Ukiah Brewing Company,Ukiah, CA
101,0.063,60,Tallgrass IPA,American IPA,16,45,Tallgrass Brewing Company,Manhattan, KS
102,0.05,20,Buffalo Sweat (2010),Milk / Sweet Stout,16,45,Tallgrass Brewing Company,Manhattan, KS
103,0.044,22,Tallgrass Ale,American Brown Ale,16,45,Tallgrass Brewing Company,Manhattan, KS
104,0.072,93,Oasis (2010),American Double / Imperial IPA,16,45,Tallgrass Brewing Company,Manhattan, KS
105,0.05,16,Köld Lager (2010),German Pilsener,16,45,Tallgrass Brewing Company,Manhattan, KS
106,0.055,17,Ellie’s Brown Ale,American Brown Ale,12,37,Avery Brewing Company,Boulder, CO
107,0.063,69,Avery India Pale Ale,American IPA,12,37,Avery Brewing Company,Boulder, CO
108,0.056,10,White Rascal,Witbier,12,37,Avery Brewing Company,Boulder, CO
109,0.045,,Floppin' Crappie,American Pale Wheat Ale,12,529,Northwoods Brewpub,Eau Claire, WI
110,0.055,,BrewFarm Select Golden Lager,American Pale Lager,12,554,Dave's Brewfarm,Wilson, WI
112,0.05,,Fearless Scottish Ale,Scottish Ale,16,201,Fearless Brewing Company,Estacada, OR
113,0.08,,Triangle Belgian Golden Ale,Belgian Strong Pale Ale,12,524,Triangle Brewing Company,Durham, NC
114,0.05,,Triangle White Ale,Witbier,12,524,Triangle Brewing Company,Durham, NC
115,0.065,70,Ranger IPA (Current),American IPA,12,82,New Belgium Brewing Company,Fort Collins, CO
119,0.059,60,Full Nelson Pale Ale (2010),American Pale Ale (APA),12,382,Blue Mountain Brewery,Afton, VA
120,0.052,24,Hurricane Amber Ale,American Amber / Red Ale,12,101,Coastal Extreme Brewing Company,Newport, RI
121,0.052,,Cornstalker Dark Wheat,American Dark Wheat Ale,12,282,Thunderhead Brewing Company,Kearney, NE
122,0.075,,Golden Frau Honey Wheat,Braggot,12,282,Thunderhead Brewing Company,Kearney, NE
124,0.055,20,Epicenter Amber Ale (2010),American Amber / Red Ale,12,30,SanTan Brewing Company,Chandler, AZ
125,0.058,,Lumberyard Red Ale,American Amber / Red Ale,12,158,Lumberyard Brewing Company,Flagstaff, AZ
126,0.059,42,Harpoon IPA (2010),American IPA,12,234,Harpoon Brewery,Boston, MA
128,0.051,7,O'Fallon Wheach,Fruit / Vegetable Beer,12,442,O'Fallon Brewery,O'Fallon, MO
129,0.05,,Heiner Brau Kölsch,Kölsch,12,553,Covington Brewhouse,Covington, LA
130,0.059,14,Morning Wood Wheat (Current),American Pale Wheat Ale,12,135,Pug Ryan's Brewery,Dillon, CO
131,0.055,,Dry Heat Hefeweizen (2006),Hefeweizen,12,507,Mudshark Brewing Company,Lake Havasu City, AZ
132,0.085,,Full Moon Belgian White Ale (2007),Witbier,12,507,Mudshark Brewing Company,Lake Havasu City, AZ
133,0.055,,Saranac Pale Ale (16 oz.),English Pale Ale,16,299,Matt Brewing Company,Utica, NY
138,0.047,9,Point Special Lager,American Adjunct Lager,12,131,Stevens Point Brewery,Stevens Point, WI
139,0.047,14,Point Amber Classic,American Amber / Red Lager,12,131,Stevens Point Brewery,Stevens Point, WI
140,0.054,33,Point Cascade Pale Ale,American Pale Ale (APA),12,131,Stevens Point Brewery,Stevens Point, WI
141,0.05,7,Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,12,131,Stevens Point Brewery,Stevens Point, WI
142,0.065,,Black Iron India Pale Ale,American IPA,12,536,Grand Canyon Brewing Company,Williams, AZ
143,0.054,,Grand Canyon Sunset Amber Ale,American Amber / Red Ale,12,536,Grand Canyon Brewing Company,Williams, AZ
1850,0.071,83,American India Red Ale,American Strong Ale,12,294,Black Shirt Brewing Company,Denver, CO
146,0.047,42,Avery Joe’s Premium American Pilsner,German Pilsener,12,37,Avery Brewing Company,Boulder, CO
148,0.052,,Daisy Cutter Pale Ale,American Pale Ale (APA),16,327,Half Acre Beer Company,Chicago, IL
149,0.042,,Gossamer Golden Ale,American Blonde Ale,16,327,Half Acre Beer Company,Chicago, IL
150,0.055,,Saranac Pale Ale (12 oz.),English Pale Ale,12,299,Matt Brewing Company,Utica, NY
158,0.07,,Cornerstone IPA,American IPA,16,229,Rochester Mills Brewing Company,Rochester, MI
159,0.05,40,Scape Goat Pale Ale (2010),English Pale Ale,12,336,Big Sky Brewing Company,Missoula, MT
160,0.068,,Ice Pick Ale,American IPA,12,551,Silverton Brewery,Silverton, CO
161,0.06,,Red Mountain Ale,American Amber / Red Ale,12,551,Silverton Brewery,Silverton, CO
162,0.056,41,Paddy Pale Ale,American Pale Ale (APA),12,361,Wild Onion Brewing Company,Lake Barrington, IL
164,0.045,15,Black Star Double Hopped Golden Lager (12 oz.),American Pale Lager,12,543,Great Northern Brewing Company,Whitefish, MT
165,0.046,,White Ale,Witbier,12,518,New South Brewing Company,Myrtle Beach, SC
166,0.058,25,Oktoberfest Lager,Märzen / Oktoberfest,12,371,Sly Fox Brewing Company,Pottstown, PA
168,0.047,,Summer Honey,American Blonde Ale,12,336,Big Sky Brewing Company,Missoula, MT
169,0.053,25,Horny Toad Cerveza (2013),American Blonde Ale,16,182,COOP Ale Works,Oklahoma City, OK
170,0.063,35,Native Amber (2013),American Amber / Red Ale,16,182,COOP Ale Works,Oklahoma City, OK
171,0.051,24,Louie’s Demise Immort-Ale (2010),American Amber / Red Ale,16,284,Milwaukee Brewing Company,Milwaukee, WI
172,0.048,18,Flaming Damsel Lager (2010),Vienna Lager,16,284,Milwaukee Brewing Company,Milwaukee, WI
173,0.068,65,Back in Black,American Black Ale,12,368,21st Amendment Brewery,San Francisco, CA
174,0.056,,Mickey Finn's Amber Ale,American Amber / Red Ale,12,552,Mickey Finn's Brewery,Libertyville, IL
178,0.052,,Sunbru Kölsch,Kölsch,12,160,Four Peaks Brewing Company,Tempe, AZ
179,0.06,21,Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,12,160,Four Peaks Brewing Company,Tempe, AZ
180,0.042,,Island Wheat,American Pale Wheat Ale,12,192,Capital Brewery,Middleton, WI
181,0.048,,Beltian White,Witbier,12,535,Harvest Moon Brewing Company,Belt, MT
182,0.069,69,Stowaway IPA,American IPA,12,292,Baxter Brewing Company,Lewiston, ME
183,0.049,28,Pamola Xtra Pale Ale,American Pale Ale (APA),12,292,Baxter Brewing Company,Lewiston, ME
184,0.06,,The Public,American Pale Ale (APA),12,227,DC Brau Brewing Company,Washington, DC
185,0.07,,The Citizen,Belgian Pale Ale,12,227,DC Brau Brewing Company,Washington, DC
186,0.065,80,The Corruption,American IPA,12,227,DC Brau Brewing Company,Washington, DC
188,0.058,21,Pallavicini Pilsner (2009),Czech Pilsener,12,135,Pug Ryan's Brewery,Dillon, CO
189,0.054,30,Roller Dam Red Ale (2010),Irish Red Ale,16,365,Great River Brewery,Davenport, IA
190,0.053,48,483 Pale Ale (2010),American Pale Ale (APA),16,365,Great River Brewery,Davenport, IA
192,0.05,28,Harpoon Summer Beer (2010),Kölsch,12,234,Harpoon Brewery,Boston, MA
1847,0.066,44,Colorado Red Ale,American Amber / Red Ale,12,294,Black Shirt Brewing Company,Denver, CO
195,0.048,28,Lancaster German Style Kölsch,Kölsch,12,545,Lancaster Brewing Company,Lancaster, PA
212,0.042,,Bear Ass Brown,American Brown Ale,12,551,Silverton Brewery,Silverton, CO
213,0.054,23,Wee Mac Scottish-Style Ale,Scottish Ale,16,25,Sun King Brewing Company,Indianapolis, IN
217,0.066,,Happy Camper IPA,American IPA,12,392,Santa Fe Brewing Company,Santa Fe, NM
219,0.051,,Miner's Gold,American Blonde Ale,12,386,Revolution Brewing,Paonia, CO
220,0.062,,Colorado Red Ale,American Amber / Red Ale,12,386,Revolution Brewing,Paonia, CO
271,0.06,,11th Hour IPA,American IPA,12,212,Crow Peak Brewing Company,Spearfish, SD
272,0.069,,Pile O'Dirt Porter,American Porter,12,212,Crow Peak Brewing Company,Spearfish, SD
273,0.058,,AXL Pale Ale,American Pale Ale (APA),16,440,MillKing It Productions,Royal Oak, MI
285,0.055,45,Devil’s Ale (2010),American Pale Ale (APA),12,30,SanTan Brewing Company,Chandler, AZ
286,0.05,15,SanTan HefeWeizen (2010),Hefeweizen,12,30,SanTan Brewing Company,Chandler, AZ
304,0.055,,Freestyle Pilsner,German Pilsener,12,392,Santa Fe Brewing Company,Santa Fe, NM
305,0.08,,Imperial Java Stout,Russian Imperial Stout,12,392,Santa Fe Brewing Company,Santa Fe, NM
307,0.06,,Santa Fe Oktoberfest,Märzen / Oktoberfest,12,392,Santa Fe Brewing Company,Santa Fe, NM
308,0.058,36,Good People American Brown Ale,American Brown Ale,12,478,Good People Brewing Company,Birmingham, AL
309,0.06,64,Good People IPA,American IPA,12,478,Good People Brewing Company,Birmingham, AL
311,0.06,54,Coffee Oatmeal Stout,Oatmeal Stout,12,478,Good People Brewing Company,Birmingham, AL
312,0.093,103,Snake Handler Double IPA,American Double / Imperial IPA,12,478,Good People Brewing Company,Birmingham, AL
313,0.055,15,Mana Wheat,American Pale Wheat Ale,12,375,Maui Brewing Company,Lahaina, HI
314,0.055,15,Narragansett Fest Lager,Märzen / Oktoberfest,16,143,Narragansett Brewing Company,Providence, RI
315,0.065,32,Narragansett Bock,Bock,16,143,Narragansett Brewing Company,Providence, RI
316,0.07,22,Narragansett Porter,American Porter,16,143,Narragansett Brewing Company,Providence, RI
317,0.07,85,Hop Shock IPA (2010),American IPA,12,30,SanTan Brewing Company,Chandler, AZ
318,0.074,97,Vortex IPA,American IPA,16,206,Fort George Brewery,Astoria, OR
319,0.051,,1811 Lager,American Amber / Red Lager,16,206,Fort George Brewery,Astoria, OR
320,0.088,85,Gandhi-Bot Double IPA (12 oz.),American Double / Imperial IPA,12,410,New England Brewing Company,Woodbridge, CT
321,0.079,45,Fireside Chat (2010),Winter Warmer,12,368,21st Amendment Brewery,San Francisco, CA
323,0.05,,Wind River Blonde Ale,American Blonde Ale,16,550,Wind River Brewing Company,Pinedale, WY
324,0.072,,Wyoming Pale Ale,American Pale Ale (APA),16,550,Wind River Brewing Company,Pinedale, WY
326,0.042,,Up River Light,Light Lager,12,507,Mudshark Brewing Company,Lake Havasu City, AZ
327,0.05,,Wapiti Amber Ale,American Amber / Red Ale,12,549,Mogollon Brewing Company,Flagstaff, AZ
328,0.045,,Brooklyn Summer Ale (2011),English Pale Mild Ale,12,437,Brooklyn Brewery,Brooklyn, NY
329,0.075,90,WET,American IPA,16,61,Surly Brewing Company,Brooklyn Center, MN
334,0.045,,Wild Onion Pumpkin Ale (2010),Pumpkin Ale,12,361,Wild Onion Brewing Company,Lake Barrington, IL
335,0.06,,Ponderosa IPA,American IPA,12,548,Prescott Brewing Company,Prescott, AZ
336,0.056,,Iron Mike Pale Ale,American Pale Ale (APA),24,547,Moat Mountain Smoke House & Brew...,North Conway, NH
337,0.055,,Boneshaker Brown Ale,English Brown Ale,24,547,Moat Mountain Smoke House & Brew...,North Conway, NH
339,0.058,27,Copper Hook (2011),American Amber / Red Ale,12,487,Redhook Brewery,Woodinville, WA
340,0.052,,Black Thunder,Schwarzbier,12,413,Austin Beerworks,Austin, TX
341,0.053,,Pearl-Snap,German Pilsener,12,413,Austin Beerworks,Austin, TX
342,0.051,,Peacemaker,American Pale Ale (APA),12,413,Austin Beerworks,Austin, TX
343,0.062,,Fire Eagle IPA,American IPA,12,413,Austin Beerworks,Austin, TX
344,0.04,,Cherny Bock,Schwarzbier,12,364,Bohemian Brewery,Midvale, UT
345,0.067,,Upslope Brown Ale,English Brown Ale,12,51,Upslope Brewing Company,Boulder, CO
346,0.078,,Baltic Porter,Baltic Porter,16,522,Uncommon Brewers,Santa Cruz, CA
347,0.064,,Golden State Ale,Belgian Pale Ale,16,522,Uncommon Brewers,Santa Cruz, CA
348,0.058,,Skilak Scottish Ale (2011),Scottish Ale,12,458,Kenai River Brewing Company,Soldotna, AK
349,0.068,,Sunken Island IPA,American IPA,12,458,Kenai River Brewing Company,Soldotna, AK
350,0.047,,Golden Wing Blonde Ale,American Blonde Ale,16,256,Finch's Beer Company,Chicago, IL
351,0.055,,Cut Throat Pale Ale (2011),American Pale Ale (APA),16,256,Finch's Beer Company,Chicago, IL
352,0.06,,Over Ale,American Brown Ale,16,327,Half Acre Beer Company,Chicago, IL
353,0.044,42,Bitter American (2011),American Pale Ale (APA),12,368,21st Amendment Brewery,San Francisco, CA
355,0.061,,Lumberyard IPA,American IPA,12,158,Lumberyard Brewing Company,Flagstaff, AZ
356,0.052,25,Crazy Mountain Amber Ale,American Amber / Red Ale,12,63,Crazy Mountain Brewing Company,Edwards, CO
357,0.054,32,2012 Black Ale,American Brown Ale,12,131,Stevens Point Brewery,Stevens Point, WI
358,0.067,47,Hop Knot IPA,American IPA,12,160,Four Peaks Brewing Company,Tempe, AZ
359,0.038,,Sankaty Light Lager,Light Lager,12,145,Cisco Brewers,Nantucket, MA
360,0.051,20,#9,Fruit / Vegetable Beer,12,303,Magic Hat Brewing Company,South Burlington, VT
361,0.049,28,TailGate Hefeweizen,Hefeweizen,12,449,TailGate Beer,San Diego, CA
362,0.05,19,Blacktop Blonde,American Blonde Ale,12,449,TailGate Beer,San Diego, CA
363,0.05,,Milkshake Stout,Milk / Sweet Stout,16,229,Rochester Mills Brewing Company,Rochester, MI
364,0.05,,Olde Ore Dock Scottish Ale,Scottish Ale,12,84,Keweenaw Brewing Company,Houghton, MI
365,0.048,,BRIK Irish Red Ale,Irish Red Ale,16,440,MillKing It Productions,Royal Oak, MI
366,0.06,23,Jack Stout,Oatmeal Stout,12,361,Wild Onion Brewing Company,Lake Barrington, IL
367,0.07,80,Hop Ottin' IPA (2011),American IPA,12,171,Anderson Valley Brewing Company,Boonville, CA
368,0.065,52,Northern Lights India Pale Ale,American IPA,12,383,Starr Hill Brewery,Crozet, VA
369,0.048,12,Festie,Märzen / Oktoberfest,12,383,Starr Hill Brewery,Crozet, VA
371,0.06,36,Redband Stout,American Stout,16,365,Great River Brewery,Davenport, IA
379,0.08,120,Heady Topper,American Double / Imperial IPA,16,272,The Alchemist,Waterbury, VT
381,0.065,70,Upstate I.P.W.,American IPA,12,546,Upstate Brewing Company,Elmira, NY
382,0.053,22,Common Sense Kentucky Common Ale,American Brown Ale,16,546,Upstate Brewing Company,Elmira, NY
383,0.073,85,Black Adder IBA (Current),American Black Ale,16,530,Buckbean Brewing Company,Reno, NV
384,0.065,,Triomphe,Belgian IPA,16,10,Brewery Vivant,Grand Rapids, MI
385,0.06,,Solitude,Belgian Pale Ale,16,10,Brewery Vivant,Grand Rapids, MI
386,0.042,18,Mexican Logger,American Pale Lager,12,264,Ska Brewing Company,Durango, CO
387,0.055,,Farm Hand,Saison / Farmhouse Ale,16,10,Brewery Vivant,Grand Rapids, MI
388,0.087,85,G'KNIGHT (12 oz.),American Double / Imperial IPA,12,166,Oskar Blues Brewery,Longmont, CO
389,0.053,22,Great Crescent Blonde Ale (2011),American Blonde Ale,16,165,Great Crescent Brewery,Aurora, IN
390,0.062,17,Whitsun,American Pale Wheat Ale,12,541,Arcadia Brewing Company,Battle Creek, MI
391,0.09,60,One Hit Wonder,American Double / Imperial IPA,12,166,Oskar Blues Brewery,Longmont, CO
392,0.066,30,Rumspringa Golden Bock,Maibock / Helles Bock,12,545,Lancaster Brewing Company,Lancaster, PA
393,0.068,60,Pako’s EyePA,American IPA,12,191,Snake River Brewing Company,Jackson, WY
394,0.099,60,Johan the Barleywine,English Barleywine,16,25,Sun King Brewing Company,Indianapolis, IN
395,0.078,74,Crank Yanker IPA (2011),American IPA,16,369,Eddyline Brewery & Restaurant,Buena Vista, CO
193,0.062,68,Lucky U IPA,American IPA,12,391,Breckenridge Brewery,Denver, CO
398,0.042,13,Wild Onion Summer Wit,Witbier,12,361,Wild Onion Brewing Company,Lake Barrington, IL
399,0.052,18,Pyramid Hefeweizen (2011),Hefeweizen,12,544,Pyramid Breweries,Seattle, WA
400,0.056,37,Sierra Nevada Pale Ale,American Pale Ale (APA),12,83,Sierra Nevada Brewing Company,Chico, CA
402,0.052,32,Snake River Pale Ale,American Pale Ale (APA),12,191,Snake River Brewing Company,Jackson, WY
403,0.042,24,Narragansett Summer Ale,American Pale Wheat Ale,16,143,Narragansett Brewing Company,Providence, RI
404,0.045,15,Black Star Double Hopped Golden Lager (24 oz.),American Pale Lager,24,543,Great Northern Brewing Company,Whitefish, MT
406,0.05,18,Snake River Lager,Vienna Lager,12,191,Snake River Brewing Company,Jackson, WY
407,0.05,22,OB-1 Organic Ale,English Brown Ale,12,191,Snake River Brewing Company,Jackson, WY
408,0.05,,Sunny Haze,Hefeweizen,12,540,Mother Earth Brewing Company,Kinston, NC
409,0.047,,Oaky's Oatmeal Stout,Oatmeal Stout,16,542,Angry Minnow Brewing Company,Hayward, WI
410,0.054,,River Pig Pale Ale,American Pale Ale (APA),16,542,Angry Minnow Brewing Company,Hayward, WI
412,0.05,20,Halcyon Unfiltered Wheat,American Pale Wheat Ale,12,45,Tallgrass Brewing Company,Manhattan, KS
413,0.06,55,Sky High Rye,American Pale Ale (APA),12,541,Arcadia Brewing Company,Battle Creek, MI
414,0.05,14,Bottom Up Belgian Wit,Witbier,12,44,Revolution Brewing Company,Chicago, IL
415,0.065,70,Anti-Hero IPA,American IPA,12,44,Revolution Brewing Company,Chicago, IL
416,0.068,28,Eugene Porter,American Porter,12,44,Revolution Brewing Company,Chicago, IL
417,0.057,25,Oktoberfest Revolution,Märzen / Oktoberfest,12,44,Revolution Brewing Company,Chicago, IL
